IP,Protocol,Attack Type,DateTime,Interactions,Port,Severity,Response Time,Packet Size,Origin Country,Detected By
192.168.1.1,FTP,Brute Force,2025-02-12 10:46:52,243,21,High,41,438,USA,Firewall
192.168.100.10,UDP,Malware,2025-02-12 10:46:52,166,123,High,294,1093,China,Antivirus
172.20.30.40,DNS,DNS Spoofing,2025-02-12 10:46:52,93,53,Medium,150,574,Germany,IDS
172.16.5.3,DNS,DNS Spoofing,2025-02-12 10:46:52,44,53,Medium,184,203,France,IDS
198.51.100.5,ICMP,Ping Flood,2025-02-12 10:46:52,318,0,Medium,542,1088,India,IPS
10.0.0.2,ICMP,DDoS,2025-02-12 10:46:52,271,0,Critical,523,1283,Brazil,IPS
8.8.8.8,HTTP,SQL Injection,2025-02-12 10:46:52,85,80,High,283,316,Canada,SIEM
192.168.1.1,ICMP,Ping Flood,2025-02-12 10:46:52,251,0,Medium,244,1420,China,IPS
198.51.100.5,ICMP,DDoS,2025-02-12 10:46:52,176,0,Critical,1533,1315,Germany,IPS
8.8.8.8,HTTPS,Zero-Day,2025-02-12 10:46:52,42,443,Critical,727,924,Russia,SIEM
192.168.100.10,UDP,Malware,2025-02-12 10:46:52,117,123,High,214,1039,Brazil,Antivirus
8.8.8.8,SSH,Unauthorized Access,2025-02-12 10:46:52,52,22,High,99,434,Russia,Firewall
172.20.30.40,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,190,443,Critical,406,808,UK,Firewall
192.168.1.1,DNS,DNS Amplification,2025-02-12 10:46:52,405,53,High,481,1228,UK,IPS
10.10.10.10,SSH,Brute Force,2025-02-12 10:46:52,85,22,High,64,215,Canada,Firewall
198.51.100.5,HTTP,SQL Injection,2025-02-12 10:46:52,123,80,High,206,666,China,SIEM
192.168.100.10,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,191,443,Critical,431,961,Brazil,Firewall
192.168.1.1,UDP,Malware,2025-02-12 10:46:52,143,53,High,88,870,India,Antivirus
192.0.2.6,TCP,Brute Force,2025-02-12 10:46:52,201,21,High,37,236,France,Firewall
192.168.100.10,FTP,Brute Force,2025-02-12 10:46:52,219,21,High,41,487,India,Firewall
10.0.0.2,UDP,DDoS,2025-02-12 10:46:52,409,67,Critical,1201,1248,Russia,IPS
192.168.1.1,HTTPS,Zero-Day,2025-02-12 10:46:52,35,443,Critical,791,966,Russia,SIEM
10.0.0.2,HTTPS,Man-in-the-Middle,2025-02-12 10:46:52,85,443,Critical,508,552,Japan,Firewall
